Data,Seed,TestProportion,CandidateProportion,SelectorType,ModelType,UniqueErrorsInput,n_estimators,regularization,RashomonThresholdType,RashomonThreshold,Type,Partition,Time,Memory,JobName,Output
Iris,19,0.2,0.8,TreeEnsembleQBCFunction,TreeFarmsFunction,0,100,0.01,Adder,0.025,Classification,short,0:59:00,1000M,19IS_DA0.025,Iris/TreeFarms/Raw/19IS_DA0.025.pkl
Iris,19,0.2,0.8,TreeEnsembleQBCFunction,TreeFarmsFunction,1,100,0.01,Adder,0.025,Classification,short,0:59:00,1000M,19IS_UA0.025,Iris/TreeFarms/Raw/19IS_UA0.025.pkl
Iris,20,0.2,0.8,PassiveLearning,RandomForestClassificationFunction,1,100,0.01,Adder,0.0,Classification,short,00:59:00,1000,20IS_PLA0.0,Iris/RandomForestClassification/Raw/20IS_PLA0.0.pkl
Iris,20,0.2,0.8,TreeEnsembleQBCFunction,TreeFarmsFunction,1,100,0.01,Adder,0.025,Classification,short,0:59:00,1000M,20IS_UA0.025,Iris/TreeFarms/Raw/20IS_UA0.025.pkl
Iris,20,0.2,0.8,TreeEnsembleQBCFunction,TreeFarmsFunction,0,100,0.01,Adder,0.025,Classification,short,0:59:00,1000M,20IS_DA0.025,Iris/TreeFarms/Raw/20IS_DA0.025.pkl
Iris,20,0.2,0.8,TreeEnsembleQBCFunction,RandomForestClassificationFunction,0,100,0.01,Adder,0.0,Classification,short,00:59:00,1000,20IS_RFA0.0,Iris/RandomForestClassification/Raw/20IS_RFA0.0.pkl
Iris,21,0.2,0.8,TreeEnsembleQBCFunction,TreeFarmsFunction,0,100,0.01,Adder,0.025,Classification,short,0:59:00,1000M,21IS_DA0.025,Iris/TreeFarms/Raw/21IS_DA0.025.pkl
Iris,21,0.2,0.8,TreeEnsembleQBCFunction,TreeFarmsFunction,1,100,0.01,Adder,0.025,Classification,short,0:59:00,1000M,21IS_UA0.025,Iris/TreeFarms/Raw/21IS_UA0.025.pkl
Iris,21,0.2,0.8,PassiveLearning,RandomForestClassificationFunction,1,100,0.01,Adder,0.0,Classification,short,00:59:00,1000,21IS_PLA0.0,Iris/RandomForestClassification/Raw/21IS_PLA0.0.pkl
Iris,21,0.2,0.8,TreeEnsembleQBCFunction,RandomForestClassificationFunction,0,100,0.01,Adder,0.0,Classification,short,00:59:00,1000,21IS_RFA0.0,Iris/RandomForestClassification/Raw/21IS_RFA0.0.pkl
Iris,22,0.2,0.8,TreeEnsembleQBCFunction,RandomForestClassificationFunction,0,100,0.01,Adder,0.0,Classification,short,00:59:00,1000,22IS_RFA0.0,Iris/RandomForestClassification/Raw/22IS_RFA0.0.pkl
